AirportName,CreateDate,RunwayNumber,RunwayLength,RunwayWidth,RunwaySurface,Designator,Id
Delphos,2008-04-30 14:24:00,18/36,2572,90,Turf or Grass,09I,256
Delta Downs,2008-04-30 14:24:00,09/27,3216,40,Dirt,YDLT,257
DENVER INTL,2008-04-30 14:24:00,17R/35L,12013,150,Concrete,KDEN,258
Derby,2008-04-30 14:24:00,35/17,1925,66,Turf or Grass,EGBD,259
Derry Landing Strip,2008-04-30 14:24:00,17/35,1801,80,Turf or Grass,1OH7,260
DESSAU,2008-04-30 14:24:00,09/27,3279,82,Asphalt,EDAD,261
Detroit City,2008-04-30 14:24:00,07/25,3882,100,Asphalt,KDET,262
Detroit Metro Wayne Co,2008-04-30 14:24:00,09L/27R,8684,200,Asphalt,KDTW,263
DField,2008-04-30 14:24:00,36/18,2301,100,Turf or Grass,SN90,264
Diamond H Ranch,2008-04-30 14:24:00,15/33,2502,150,Turf or Grass,0T1,265
DIAMOND O RANCH,2008-04-30 14:24:00,12/30,4254,100,Asphalt,XS93,266
DICKINSON THEODORE ROOSEVELT RGNL,2008-04-30 14:24:00,07/25,4686,75,Asphalt,KDIK,267
Diebleys,2008-04-30 14:24:00,09/27,2001,100,Turf or Grass,OI78,268
DIORI HAMANI,2008-04-30 14:24:00,09R/27L,9851,148,Asphalt,DRRN,269
Dirranbandi,2008-04-30 14:24:00,01/19,4004,59,Asphalt,YDBI,270
Djerba Zarzis,2008-04-30 14:24:00,09/27,10188,148,Asphalt,DTTJ,271
Dobies,2008-04-30 14:24:00,17/35,1575,150,Turf or Grass,0K6,272
Docktors Field,2008-04-30 14:24:00,36/18,2001,100,Turf or Grass,CT51,273
Dodge Coppola Wheeler,2008-04-30 14:24:00,06/24,550,100,Turf or Grass,NK53,274
Doerings Port,2008-04-30 14:24:00,36/18,2602,80,Turf or Grass,LL61,275
DOYLESTOWN,2008-04-30 14:24:00,05/23,3083,60,Asphalt,KDYL,276
DR ANTONIO NICOLAS BRICENO,2008-04-30 14:24:00,03/21,6847,148,Asphalt,SVVL,277
DRIGGS REED MEM,2008-04-30 14:24:00,03/21,7290,75,Asphalt,KDIJ,278
DRYDEN RGNL,2008-04-30 14:24:00,05/23,1978,75,Dirt,CYHD,279
Du Fresne,2008-04-30 14:24:00,18/36,2001,60,Turf or Grass,MY82,280
Duff,2008-04-30 14:24:00,10/28,2301,30,Asphalt,44KY,281
DUKE FLD,2008-04-30 14:24:00,18/36,8021,150,Asphalt,KEGI,282
Dulkaninna,2008-04-30 14:24:00,18/36,4488,120,Dirt,YDLK,283
Dumai Pinang Kampai,2008-04-30 14:24:00,03/21,5933,98,Asphalt,WIBD,284
Dunbar Field,2008-04-30 14:24:00,18/36,1601,75,Turf or Grass,II91,285
DUNDIGUL,2008-04-30 14:24:00,10R/28L,6790,150,Asphalt,VODG,286
Dunlea Airpark,2008-04-30 14:24:00,05/23,2001,100,Turf or Grass,PN66,287
DUNNVILLE,2008-04-30 14:24:00,05/23,2402,30,Asphalt,CDU9,288
Durand Municipal,2008-04-30 14:24:00,18/36,2792,50,Asphalt,WI25,289
